metric,mean,std,min,max,median
best_penalized,1311.741927960688,160.11629294367546,1123.0861466505721,1692.4861466505722,1244.4856415871836
best_clean,1146.9322505413327,40.996159527068194,1079.3229432149756,1263.3351365237959,1152.4062043356612
time_sec,403.00226359213553,27.29207282650017,353.3457238674164,478.42784881591797,402.84083580970764
