id,mu,lambda_,ngen,cxpb,mutpb,seed,best_penalized,best_clean,time_sec,timestamp
1,120,50,800,0.5,0.5,4,1618.2435059634527,1089.2935059634528,188.5931715965271,2025-12-11 11:02:55
2,120,50,800,0.5,0.5,0,1104.6587296526025,1082.9087296526025,190.3826141357422,2025-12-11 11:02:56
3,120,50,800,0.5,0.5,1,1298.9787873376918,1177.7787873376915,194.60311627388,2025-12-11 11:03:01
4,120,50,800,0.5,0.5,3,1404.0861466505723,1205.5361466505724,197.45083332061768,2025-12-11 11:03:03
5,120,50,800,0.5,0.5,5,1316.2209229614223,1161.9209229614225,200.47413873672485,2025-12-11 11:03:07
6,120,50,800,0.5,0.5,7,1328.3572144624377,1161.6072144624377,201.41113328933716,2025-12-11 11:03:07
7,120,50,800,0.5,0.5,6,1202.4782822743032,1163.6782822743032,202.02154636383057,2025-12-11 11:03:08
8,120,50,800,0.5,0.5,2,1277.8782822743033,1184.6782822743032,207.68386459350586,2025-12-11 11:03:14
9,120,50,800,0.5,0.5,8,1277.129797464468,1086.979797464468,186.31096172332764,2025-12-11 11:06:01
10,120,50,800,0.5,0.5,10,1139.6082245892144,1090.8082245892142,184.2758331298828,2025-12-11 11:06:05
11,120,50,800,0.5,0.5,9,1427.8214280248108,1151.0214280248108,198.26675510406494,2025-12-11 11:06:15
12,120,50,800,0.5,0.5,14,1221.9430009000646,1112.1930009000644,187.9793152809143,2025-12-11 11:06:16
13,120,50,800,0.5,0.5,11,1256.327777210915,1168.577777210915,192.76075434684753,2025-12-11 11:06:16
14,120,50,800,0.5,0.5,12,1242.5719330881989,1124.121933088199,195.27135920524597,2025-12-11 11:06:22
15,120,50,800,0.5,0.5,13,1245.7856415871838,1157.435641587184,200.2371575832367,2025-12-11 11:06:28
16,120,50,800,0.5,0.5,15,1338.4214280248111,1168.021428024811,194.53835940361023,2025-12-11 11:06:28
17,120,50,800,0.5,0.5,16,1342.577777210915,1205.577777210915,199.2989058494568,2025-12-11 11:09:20
18,120,50,800,0.5,0.5,17,1457.4503602129453,1193.9503602129455,195.352308511734,2025-12-11 11:09:20
19,120,50,800,0.5,0.5,20,1177.0435059634528,1095.2935059634528,185.1693651676178,2025-12-11 11:09:21
20,120,50,800,0.5,0.5,23,1117.7435059634527,1088.2935059634528,182.69273447990417,2025-12-11 11:09:31
21,120,50,800,0.5,0.5,19,1179.2356415871839,1156.435641587184,195.77371048927307,2025-12-11 11:09:32
22,120,50,800,0.5,0.5,21,1187.2930009000647,1157.1930009000648,193.99918293952942,2025-12-11 11:09:36
23,120,50,800,0.5,0.5,18,1228.9341263970193,1194.1341263970194,205.49185490608215,2025-12-11 11:09:40
24,120,50,800,0.5,0.5,22,1483.5635636485422,1199.1635636485419,197.8327660560608,2025-12-11 11:09:46
25,120,50,800,0.5,0.5,24,1417.6145737753181,1120.3645737753184,173.57354259490967,2025-12-11 11:12:14
26,120,50,800,0.5,0.5,26,1251.657719525826,1116.7077195258257,172.48394584655762,2025-12-11 11:12:14
27,120,50,800,0.5,0.5,25,1312.4209229614225,1191.9209229614225,179.63382029533386,2025-12-11 11:12:20
28,120,50,800,0.5,0.5,28,1324.194011026841,1100.3940110268413,168.98301362991333,2025-12-11 11:12:21
29,120,50,800,0.5,0.5,30,1191.5792924010798,1100.8792924010797,164.35801148414612,2025-12-11 11:12:25
30,120,50,800,0.5,0.5,27,1319.8130585851536,1186.0630585851536,174.58268117904663,2025-12-11 11:12:26
31,120,50,800,0.5,0.5,29,1422.7650788387068,1158.4650788387066,175.93653273582458,2025-12-11 11:12:32
