id,pop_size,ngen,cxpb,mutpb,seed,best_penalized,best_clean,best_tradeoff_penalized,best_tradeoff_clean,pareto_size,time_sec,timestamp
1,120,1000,0.8,0.3,4,1103.1930009000644,1085.1930009000644,1103.1930009000644,1085.1930009000644,14,386.59148120880127,2025-12-11 08:11:15
2,120,1000,0.8,0.3,0,1175.4297974644683,1100.979797464468,1175.4297974644683,1100.979797464468,64,393.946213722229,2025-12-11 08:11:22
3,120,1000,0.8,0.3,3,1237.7856415871838,1161.435641587184,1237.7856415871838,1161.435641587184,17,394.1483335494995,2025-12-11 08:11:22
4,120,1000,0.8,0.3,6,1134.144011026841,1103.394011026841,1134.144011026841,1103.394011026841,104,394.77718138694763,2025-12-11 08:11:23
5,120,1000,0.8,0.3,1,1150.4351365237953,1129.3351365237954,1150.4351365237953,1129.3351365237954,36,395.1624732017517,2025-12-11 08:11:23
6,120,1000,0.8,0.3,7,1198.6719330881992,1154.121933088199,1198.6719330881992,1154.121933088199,80,404.6097586154938,2025-12-11 08:11:33
7,120,1000,0.8,0.3,2,1188.9430009000648,1155.1930009000648,1188.9430009000648,1155.1930009000648,16,405.8046188354492,2025-12-11 08:11:34
8,120,1000,0.8,0.3,5,1339.2930009000647,1209.1930009000648,1450.2729432149756,1079.3229432149756,41,407.7198836803436,2025-12-11 08:11:36
9,120,1000,0.8,0.3,8,1101.0508652763333,1083.0508652763333,1101.0508652763333,1083.0508652763333,31,377.3567008972168,2025-12-11 08:17:32
10,120,1000,0.8,0.3,9,1153.279797464468,1082.979797464468,1153.279797464468,1082.979797464468,37,375.9776680469513,2025-12-11 08:17:38
11,120,1000,0.8,0.3,11,1207.8292924010798,1153.87929240108,1281.472438151587,1079.222438151587,22,377.86472821235657,2025-12-11 08:17:41
12,120,1000,0.8,0.3,10,1181.2930009000647,1157.1930009000648,1181.2930009000647,1157.1930009000648,15,380.80588603019714,2025-12-11 08:17:43
13,120,1000,0.8,0.3,12,1174.557719525826,1104.7077195258257,1174.557719525826,1104.7077195258257,38,381.44689083099365,2025-12-11 08:17:45
14,120,1000,0.8,0.3,13,1096.1155839020948,1079.5655839020947,1096.1155839020948,1079.5655839020947,37,373.9107987880707,2025-12-11 08:17:47
15,120,1000,0.8,0.3,15,1289.0940110268411,1085.3940110268409,1289.0940110268411,1085.3940110268409,52,376.141597032547,2025-12-11 08:17:52
16,120,1000,0.8,0.3,14,1248.4856415871839,1160.435641587184,1248.4856415871839,1160.435641587184,47,385.90098571777344,2025-12-11 08:18:00
17,120,1000,0.8,0.3,17,1268.0214280248108,1174.0214280248108,1268.0214280248108,1174.0214280248108,39,366.73610401153564,2025-12-11 08:23:45
18,120,1000,0.8,0.3,18,1190.2508652763336,1098.0508652763335,1190.2508652763336,1098.0508652763335,35,368.06602454185486,2025-12-11 08:23:49
19,120,1000,0.8,0.3,16,1271.3777772109147,1160.577777210915,1271.3777772109147,1160.577777210915,58,377.1278202533722,2025-12-11 08:23:49
20,120,1000,0.8,0.3,22,1084.979797464468,1069.979797464468,1084.979797464468,1069.979797464468,19,363.8285629749298,2025-12-11 08:23:56
21,120,1000,0.8,0.3,21,1333.3145737753184,1165.3645737753186,1333.3145737753184,1165.3645737753186,20,373.4706299304962,2025-12-11 08:24:00
22,120,1000,0.8,0.3,23,1175.572438151587,1102.222438151587,1175.572438151587,1102.222438151587,31,368.8531665802002,2025-12-11 08:24:09
23,120,1000,0.8,0.3,20,1250.0430009000647,1208.1930009000648,1250.0430009000647,1208.1930009000648,38,386.23284673690796,2025-12-11 08:24:11
24,120,1000,0.8,0.3,19,1666.2709229614225,1198.9209229614225,1666.2709229614225,1198.9209229614225,58,392.5640811920166,2025-12-11 08:24:16
25,120,1000,0.8,0.3,24,1268.9930009000645,1158.1930009000646,1268.9930009000645,1158.1930009000646,33,332.2696461677551,2025-12-11 08:29:17
26,120,1000,0.8,0.3,25,1264.8655839020948,1106.565583902095,1264.8655839020948,1106.565583902095,21,337.3341107368469,2025-12-11 08:29:26
27,120,1000,0.8,0.3,26,1145.9856415871836,1126.435641587184,1145.9856415871836,1126.435641587184,48,338.5794062614441,2025-12-11 08:29:28
28,120,1000,0.8,0.3,29,1287.3214280248108,1132.0214280248106,1287.3214280248108,1132.0214280248106,48,326.1052813529968,2025-12-11 08:29:35
29,120,1000,0.8,0.3,28,1255.2430009000645,1178.1930009000648,1255.2430009000645,1178.1930009000648,34,335.4687728881836,2025-12-11 08:29:36
30,120,1000,0.8,0.3,27,1194.8782822743033,1162.6782822743032,1194.8782822743033,1162.6782822743032,87,341.6196849346161,2025-12-11 08:29:38
31,120,1000,0.8,0.3,30,1217.944011026841,1103.3940110268413,1217.944011026841,1103.3940110268413,26,330.7141103744507,2025-12-11 08:29:42
