id,n_iter,start_temp,end_temp,seed,best_penalized,best_clean,time_sec,timestamp
1,5000,20.0,0.01,5,1885.7551942088846,1210.2051942088847,23.075648546218872,2025-12-11 11:41:41
2,5000,20.0,0.01,7,1797.297834896004,1271.4478348960042,23.94451642036438,2025-12-11 11:41:42
3,5000,20.0,0.01,3,2187.8595231414356,1383.359523141436,24.18892002105713,2025-12-11 11:41:42
4,5000,20.0,0.01,4,2285.882611206854,1329.8326112068544,24.435895442962646,2025-12-11 11:41:42
5,5000,20.0,0.01,0,2718.9546891454966,1318.1046891454966,24.66555666923523,2025-12-11 11:41:43
6,5000,20.0,0.01,1,2118.297329832616,1356.347329832616,25.693434715270996,2025-12-11 11:41:44
7,5000,20.0,0.01,2,1989.3168824543168,1389.116882454317,25.759899139404297,2025-12-11 11:41:44
8,5000,20.0,0.01,6,2448.7859300126293,1464.785930012629,27.376399993896484,2025-12-11 11:41:45
9,5000,20.0,0.01,9,2731.7282822743036,1181.6782822743035,22.476704359054565,2025-12-11 11:42:04
10,5000,20.0,0.01,11,2108.2983399593923,1215.548339959392,23.226807355880737,2025-12-11 11:42:06
11,5000,20.0,0.01,10,1780.3389603929586,1289.3889603929583,24.008981704711914,2025-12-11 11:42:06
12,5000,20.0,0.01,12,2068.9389603929585,1339.3889603929586,23.961321592330933,2025-12-11 11:42:07
13,5000,20.0,0.01,14,2287.277272147527,1205.477272147527,23.149468421936035,2025-12-11 11:42:07
14,5000,20.0,0.01,13,2180.1189027078694,1271.5189027078695,23.73009181022644,2025-12-11 11:42:07
15,5000,20.0,0.01,8,2076.005194208885,1343.2051942088847,27.04266357421875,2025-12-11 11:42:08
16,5000,20.0,0.01,15,1870.9993500861688,1220.7493500861688,23.636849403381348,2025-12-11 11:42:09
17,5000,20.0,0.01,16,1668.1356415871842,1194.435641587184,22.69525671005249,2025-12-11 11:42:27
18,5000,20.0,0.01,18,2779.8714280248114,1178.0214280248108,22.7382550239563,2025-12-11 11:42:29
19,5000,20.0,0.01,19,1995.683621333631,1225.033621333631,22.970160007476807,2025-12-11 11:42:30
20,5000,20.0,0.01,17,2312.8889603929583,1333.3889603929586,24.203688859939575,2025-12-11 11:42:30
21,5000,20.0,0.01,20,1690.8326112068542,1302.8326112068544,23.4284029006958,2025-12-11 11:42:30
22,5000,20.0,0.01,21,2140.9394654563466,1300.4894654563468,23.771744966506958,2025-12-11 11:42:31
23,5000,20.0,0.01,23,2110.8336213336306,1278.033621333631,22.279030323028564,2025-12-11 11:42:31
24,5000,20.0,0.01,22,1917.149350086169,1260.7493500861688,24.023131847381592,2025-12-11 11:42:32
25,5000,20.0,0.01,24,2459.513058585154,1252.0630585851538,21.10886287689209,2025-12-11 11:42:48
26,5000,20.0,0.01,26,2444.0209229614225,1195.9209229614225,19.680376291275024,2025-12-11 11:42:49
27,5000,20.0,0.01,28,2191.657719525826,1165.7077195258262,19.136516094207764,2025-12-11 11:42:49
28,5000,20.0,0.01,25,2079.8297974644684,1124.979797464468,20.680274486541748,2025-12-11 11:42:50
29,5000,20.0,0.01,29,1997.789465456347,1250.489465456347,19.814893007278442,2025-12-11 11:42:51
30,5000,20.0,0.01,30,1887.3889603929588,1370.3889603929588,20.671299695968628,2025-12-11 11:42:52
31,5000,20.0,0.01,27,1973.5310960166898,1440.5310960166898,22.710586547851562,2025-12-11 11:42:53
